Name,Frequency,YOB
John,54,1910
William,34,1910
George,28,1910
Joseph,25,1910
Charles,23,1910
James,21,1910
Robert,19,1910
Harold,18,1910
Edward,17,1910
Arthur,16,1910
Donald,16,1910
Frank,15,1910
Clarence,14,1910
Albert,13,1910
Elmer,13,1910
Lloyd,13,1910
Raymond,13,1910
Henry,12,1910
Paul,12,1910
Thomas,12,1910
Kenneth,11,1910
Walter,11,1910
Alfred,9,1910
Edwin,9,1910
Fred,9,1910
Roy,9,1910
Alvin,8,1910
Carl,8,1910
Floyd,8,1910
Lawrence,8,1910
Louis,8,1910
Clifford,7,1910
Ernest,7,1910
Francis,7,1910
Harry,7,1910
Jacob,7,1910
Leonard,7,1910
Richard,7,1910
Earl,6,1910
Glenn,6,1910
Herbert,6,1910
Ralph,6,1910
David,5,1910
Eugene,5,1910
Guy,5,1910
Leon,5,1910
Lewis,5,1910
Lyle,5,1910
Oscar,5,1910
Rudolph,5,1910
Theodore,5,1910
John,54,1911
William,36,1911
George,34,1911
Robert,31,1911
Edward,26,1911
Charles,22,1911
Walter,21,1911
Francis,20,1911
Harold,20,1911
Albert,19,1911
Joseph,19,1911
Kenneth,19,1911
Arthur,17,1911
James,17,1911
Floyd,16,1911
Donald,15,1911
Leonard,15,1911
Paul,15,1911
Ralph,15,1911
Lawrence,14,1911
Roy,14,1911
Fred,13,1911
Clarence,12,1911
Clifford,12,1911
Elmer,12,1911
Frank,12,1911
Stanley,11,1911
Thomas,11,1911
Harry,10,1911
Henry,10,1911
Herbert,10,1911
Raymond,10,1911
Carl,9,1911
Earl,9,1911
Howard,9,1911
Oliver,9,1911
Richard,9,1911
Alfred,8,1911
David,8,1911
Ernest,8,1911
Alvin,7,1911
Edwin,7,1911
Harvey,7,1911
Jack,7,1911
Lyle,7,1911
Orville,7,1911
Adolph,6,1911
Arnold,6,1911
Emil,6,1911
Everett,6,1911
Herman,6,1911
Lester,6,1911
Louis,6,1911
Martin,6,1911
Marvin,6,1911
Melvin,6,1911
Ray,6,1911
Russell,6,1911
Vernon,6,1911
Willard,6,1911
Bernard,5,1911
Chester,5,1911
Dale,5,1911
Gerald,5,1911
Gordon,5,1911
Lee,5,1911
Lewis,5,1911
Samuel,5,1911
Wilfred,5,1911
John,98,1912
William,69,1912
Robert,59,1912
Harold,52,1912
Charles,50,1912
George,49,1912
Clarence,44,1912
James,40,1912
Kenneth,40,1912
Henry,39,1912
Donald,36,1912
Albert,33,1912
Ralph,33,1912
Raymond,33,1912
Walter,32,1912
Harry,31,1912
Melvin,31,1912
Frank,29,1912
Arthur,28,1912
Edward,28,1912
Paul,28,1912
Joseph,27,1912
Edwin,26,1912
Leonard,26,1912
Howard,25,1912
Carl,24,1912
Lawrence,24,1912
Richard,23,1912
Alfred,22,1912
Clifford,22,1912
Alvin,21,1912
Earl,21,1912
Lloyd,21,1912
Floyd,19,1912
Francis,19,1912
Herbert,18,1912
Louis,17,1912
Elmer,16,1912
Ernest,16,1912
Fred,16,1912
Oscar,15,1912
Vernon,15,1912
Arnold,14,1912
Glenn,14,1912
Roy,14,1912
Dale,13,1912
Lester,13,1912
Martin,13,1912
Peter,13,1912
Theodore,13,1912
Emil,12,1912
Glen,12,1912
Herman,12,1912
Leo,12,1912
Milton,12,1912
Thomas,12,1912
Vincent,12,1912
Eugene,11,1912
Joe,11,1912
Lyle,11,1912
Marvin,11,1912
Oliver,11,1912
Bernard,10,1912
David,10,1912
Leslie,10,1912
Gordon,9,1912
Jack,9,1912
Lee,9,1912
Norman,9,1912
Wayne,9,1912
Andrew,8,1912
Lewis,8,1912
Stanley,8,1912
Cecil,7,1912
Clyde,7,1912
Everett,7,1912
Harvey,7,1912
Leon,7,1912
Maurice,7,1912
Michael,7,1912
Otto,7,1912
Victor,7,1912
Benjamin,6,1912
Chester,6,1912
Delbert,6,1912
Forrest,6,1912
Mark,6,1912
Merle,6,1912
Rudolph,6,1912
Willard,6,1912
Daniel,5,1912
Don,5,1912
Edgar,5,1912
Edmund,5,1912
Elwood,5,1912
Franklin,5,1912
Gerald,5,1912
Guy,5,1912
Jacob,5,1912
Jerome,5,1912
Jesse,5,1912
Lavern,5,1912
Maynard,5,1912
Milo,5,1912
Morris,5,1912
Orville,5,1912
Ray,5,1912
Reinhold,5,1912
Roland,5,1912
Wesley,5,1912
Woodrow,5,1912
John,139,1913
William,79,1913
George,77,1913
Robert,70,1913
Harold,66,1913
James,57,1913
Donald,56,1913
Walter,53,1913
Joseph,52,1913
Charles,51,1913
Clarence,50,1913
Albert,48,1913
Paul,48,1913
Raymond,48,1913
Edward,46,1913
Frank,43,1913
Henry,42,1913
Kenneth,42,1913
Arthur,40,1913
Elmer,36,1913
Ernest,35,1913
Floyd,35,1913
Harry,33,1913
Ralph,32,1913
Howard,31,1913
Melvin,31,1913
Fred,30,1913
Roy,29,1913
Edwin,28,1913
Francis,28,1913
Thomas,27,1913
Carl,26,1913
Lawrence,25,1913
Lloyd,25,1913
Earl,24,1913
Richard,24,1913
Clifford,22,1913
Leo,22,1913
Marvin,22,1913
Theodore,20,1913
Leonard,19,1913
Leroy,18,1913
Lester,18,1913
Vernon,18,1913
Eugene,17,1913
Leslie,17,1913
Emil,16,1913
Glenn,16,1913
Martin,16,1913
Norman,16,1913
Woodrow,16,1913
Alfred,15,1913
Gerald,15,1913
Jacob,15,1913
Orville,15,1913
Arnold,14,1913
Everett,14,1913
Herbert,14,1913
Daniel,13,1913
Lyle,13,1913
Wayne,13,1913
Bernard,12,1913
Chester,12,1913
Maurice,12,1913
Wilbur,12,1913
Alvin,11,1913
Gordon,11,1913
Oliver,11,1913
Ray,11,1913
Andrew,10,1913
Edmund,10,1913
Louis,10,1913
Oscar,10,1913
Peter,10,1913
Russell,10,1913
Virgil,10,1913
Allen,9,1913
Anton,9,1913
David,9,1913
Glen,9,1913
Herman,9,1913
Jack,9,1913
Rudolph,9,1913
Stanley,9,1913
Vincent,9,1913
Adolph,8,1913
Cecil,8,1913
Clyde,8,1913
Harvey,8,1913
Laurence,8,1913
Morris,8,1913
Wesley,8,1913
Clayton,7,1913
Joe,7,1913
Lee,7,1913
Lewis,7,1913
Merle,7,1913
Myron,7,1913
Reuben,7,1913
Ruben,7,1913
Victor,7,1913
Allan,6,1913
Calvin,6,1913
Curtis,6,1913
Delbert,6,1913
Edgar,6,1913
Eldon,6,1913
Frederick,6,1913
Gilbert,6,1913
Philip,6,1913
Reinhold,6,1913
Samuel,6,1913
Ted,6,1913
Warren,6,1913
Willis,6,1913
Alton,5,1913
August,5,1913
Bennie,5,1913
Byron,5,1913
Dale,5,1913
Ellis,5,1913
Erwin,5,1913
Guy,5,1913
Larry,5,1913
Leland,5,1913
Lowell,5,1913
Mike,5,1913
Ole,5,1913
Ronald,5,1913
Vern,5,1913
John,159,1914
William,116,1914
Robert,106,1914
Harold,96,1914
Charles,80,1914
James,76,1914
Donald,73,1914
George,70,1914
Raymond,64,1914
Kenneth,61,1914
Walter,55,1914
Arthur,49,1914
Edward,49,1914
Henry,49,1914
Albert,47,1914
Joseph,46,1914
Clarence,45,1914
Earl,44,1914
Frank,44,1914
Elmer,43,1914
Lloyd,43,1914
Francis,41,1914
Howard,40,1914
Marvin,40,1914
Richard,40,1914
Edwin,39,1914
Melvin,39,1914
Harry,38,1914
Paul,38,1914
Lawrence,37,1914
Ralph,35,1914
Herbert,34,1914
Leo,34,1914
Lester,33,1914
Alvin,32,1914
Carl,31,1914
Ernest,31,1914
Leonard,29,1914
Thomas,29,1914
Floyd,28,1914
Eugene,27,1914
Roy,27,1914
Fred,26,1914
Alfred,25,1914
Bernard,24,1914
Russell,23,1914
Arnold,22,1914
Clifford,22,1914
Louis,22,1914
Emil,20,1914
Orville,20,1914
Vernon,20,1914
Glenn,19,1914
Norman,19,1914
David,18,1914
Oscar,18,1914
Ray,18,1914
Virgil,18,1914
Gordon,17,1914
Maurice,17,1914
Vincent,17,1914
Daniel,16,1914
Everett,16,1914
Jack,16,1914
Reuben,15,1914
Dale,14,1914
Lyle,14,1914
Martin,14,1914
Willard,14,1914
Cecil,13,1914
Herman,13,1914
Leroy,13,1914
Theodore,13,1914
Wesley,13,1914
Andrew,12,1914
Max,12,1914
Milton,12,1914
Oliver,12,1914
Otto,12,1914
