Name,Frequency,YOB
James,419,1910
William,364,1910
John,319,1910
Robert,214,1910
Charles,130,1910
George,129,1910
Willie,129,1910
Thomas,91,1910
Frank,87,1910
Walter,84,1910
Henry,83,1910
Joe,71,1910
Clarence,67,1910
Paul,67,1910
Charlie,60,1910
Edward,56,1910
Roy,55,1910
Albert,53,1910
Sam,53,1910
Fred,52,1910
Joseph,52,1910
Raymond,51,1910
Jack,48,1910
Ernest,47,1910
Howard,43,1910
Arthur,41,1910
Claude,36,1910
Clyde,36,1910
Carl,35,1910
Samuel,35,1910
Earl,33,1910
Harry,33,1910
Jesse,33,1910
David,32,1910
Lee,29,1910
Richard,29,1910
Eddie,28,1910
Jessie,28,1910
Ralph,28,1910
Herbert,27,1910
Andrew,26,1910
Floyd,26,1910
Leroy,26,1910
Herman,25,1910
Ben,24,1910
Louis,24,1910
Will,23,1910
Bill,22,1910
Leonard,21,1910
Alfred,20,1910
Johnnie,20,1910
Oscar,20,1910
Alvin,19,1910
Clifford,19,1910
Edgar,19,1910
Hubert,19,1910
Luther,19,1910
Ray,19,1910
Cecil,18,1910
Eugene,18,1910
Horace,18,1910
Jim,18,1910
Lawrence,18,1910
Milton,18,1910
Marvin,17,1910
Virgil,17,1910
Malcolm,16,1910
Oliver,16,1910
Otis,16,1910
Daniel,15,1910
Jimmie,15,1910
Lewis,15,1910
Theodore,15,1910
Elmer,14,1910
Hugh,14,1910
Lester,14,1910
Mack,14,1910
Buford,13,1910
Chester,13,1910
Curtis,13,1910
Ed,13,1910
Harold,13,1910
Ollie,13,1910
Roosevelt,13,1910
Tom,13,1910
Wallace,13,1910
Allen,12,1910
Earnest,12,1910
Elbert,12,1910
Homer,12,1910
Johnie,12,1910
Norman,12,1910
Russell,12,1910
Guy,11,1910
Lonnie,11,1910
Marion,11,1910
Melvin,11,1910
Sidney,11,1910
Everett,10,1910
Isaac,10,1910
Kenneth,10,1910
Leslie,10,1910
Tommie,10,1910
Vernon,10,1910
Archie,9,1910
Clayton,9,1910
Gilbert,9,1910
Lloyd,9,1910
Neal,9,1910
Aubrey,8,1910
Bennie,8,1910
Bob,8,1910
Booker,8,1910
Calvin,8,1910
Felix,8,1910
Franklin,8,1910
Gordon,8,1910
Harvey,8,1910
Jess,8,1910
Julius,8,1910
Sherman,8,1910
Steve,8,1910
Wesley,8,1910
Austin,7,1910
Barney,7,1910
Clifton,7,1910
Grady,7,1910
Ross,7,1910
Stanley,7,1910
Troy,7,1910
Wiley,7,1910
Alonzo,6,1910
Amos,6,1910
Bud,6,1910
Charley,6,1910
Clinton,6,1910
Coy,6,1910
Dan,6,1910
Dewey,6,1910
Donald,6,1910
Douglas,6,1910
Freddie,6,1910
Jake,6,1910
Jerry,6,1910
Kermit,6,1910
Lexie,6,1910
Millard,6,1910
Monroe,6,1910
Nathaniel,6,1910
Tommy,6,1910
Willis,6,1910
Aaron,5,1910
Andy,5,1910
Bernard,5,1910
Buster,5,1910
Chas,5,1910
Cleo,5,1910
Dave,5,1910
Edwin,5,1910
Glen,5,1910
Grover,5,1910
Harley,5,1910
Hershel,5,1910
Houston,5,1910
Leo,5,1910
Leon,5,1910
Loyd,5,1910
Marshall,5,1910
Morris,5,1910
Otto,5,1910
Perry,5,1910
Pete,5,1910
Porter,5,1910
Roger,5,1910
Roscoe,5,1910
Rufus,5,1910
Simon,5,1910
Taft,5,1910
Wade,5,1910
Warren,5,1910
Wilbert,5,1910
James,433,1911
William,332,1911
John,312,1911
Robert,235,1911
George,140,1911
Charles,128,1911
Willie,105,1911
Henry,101,1911
Thomas,88,1911
Roy,73,1911
Joe,71,1911
Walter,70,1911
Frank,68,1911
Charlie,66,1911
Edward,59,1911
Clarence,58,1911
Fred,58,1911
Joseph,54,1911
Paul,51,1911
Albert,46,1911
Carl,42,1911
Earl,40,1911
Richard,40,1911
Ernest,39,1911
Jack,39,1911
Harry,38,1911
Samuel,38,1911
Clyde,37,1911
Howard,37,1911
Raymond,35,1911
Arthur,33,1911
David,33,1911
Ralph,31,1911
Elmer,30,1911
Herman,30,1911
Jesse,29,1911
Herbert,28,1911
Sam,28,1911
Andrew,25,1911
Claude,24,1911
Eugene,24,1911
Tom,24,1911
Ben,23,1911
Cecil,23,1911
Ray,23,1911
Jessie,22,1911
Lee,22,1911
Leonard,22,1911
Melvin,22,1911
Johnnie,21,1911
Clifford,20,1911
Luther,20,1911
Marvin,20,1911
Edgar,19,1911
Floyd,19,1911
Lester,19,1911
Lewis,19,1911
Oscar,19,1911
Alfred,18,1911
Harold,18,1911
Harvey,18,1911
Homer,18,1911
Leroy,18,1911
Otis,18,1911
Will,18,1911
Bill,17,1911
Daniel,17,1911
Hubert,17,1911
Louis,17,1911
Virgil,16,1911
Alvin,15,1911
Chester,15,1911
Lawrence,15,1911
Milton,15,1911
Allen,14,1911
Earnest,14,1911
Lonnie,14,1911
Eddie,13,1911
Horace,13,1911
Jim,13,1911
Kenneth,13,1911
Leon,13,1911
Lloyd,13,1911
Rufus,13,1911
Aubrey,12,1911
Curtis,12,1911
Jess,12,1911
Mack,12,1911
Sammie,12,1911
Stanley,12,1911
Dewey,11,1911
Gilbert,11,1911
Isaac,11,1911
Jimmie,11,1911
Malcolm,11,1911
Martin,11,1911
Clifton,10,1911
Donald,10,1911
Gordon,10,1911
Russell,10,1911
Theodore,10,1911
Wallace,10,1911
Archie,9,1911
Bennie,9,1911
Dan,9,1911
Ed,9,1911
Glenn,9,1911
Hugh,9,1911
Julius,9,1911
Leslie,9,1911
Orville,9,1911
Alonzo,8,1911
Booker,8,1911
Charley,8,1911
Clinton,8,1911
Everett,8,1911
Grady,8,1911
Guy,8,1911
Jay,8,1911
Marion,8,1911
Nathan,8,1911
Nathaniel,8,1911
Odis,8,1911
Porter,8,1911
Willis,8,1911
Benjamin,7,1911
Bob,7,1911
Buford,7,1911
Ellis,7,1911
Emmett,7,1911
Freddie,7,1911
Leo,7,1911
Mark,7,1911
Marshall,7,1911
Norman,7,1911
Odell,7,1911
Oliver,7,1911
Ollie,7,1911
Willard,7,1911
Alex,6,1911
Bert,6,1911
Boyd,6,1911
Columbus,6,1911
Dennis,6,1911
Hollis,6,1911
Jake,6,1911
Jeff,6,1911
Jerry,6,1911
Jewell,6,1911
Luke,6,1911
Mary,6,1911
Morris,6,1911
Noah,6,1911
Riley,6,1911
Ruby,6,1911
Sidney,6,1911
Vernon,6,1911
Victor,6,1911
Wesley,6,1911
Abe,5,1911
Amos,5,1911
Benton,5,1911
Billy,5,1911
Claud,5,1911
Elbert,5,1911
Elmo,5,1911
Ewing,5,1911
Francis,5,1911
Gus,5,1911
Herschel,5,1911
Hershel,5,1911
Hobert,5,1911
Jasper,5,1911
Johnie,5,1911
Napoleon,5,1911
Nelson,5,1911
Owen,5,1911
Peter,5,1911
Preston,5,1911
Roscoe,5,1911
Rubin,5,1911
Steve,5,1911
Tommie,5,1911
Tommy,5,1911
Van,5,1911
Wade,5,1911
Warren,5,1911
Wayne,5,1911
Wilson,5,1911
James,792,1912
William,575,1912
John,550,1912
Robert,382,1912
George,256,1912
Charles,224,1912
Thomas,180,1912
Frank,163,1912
Willie,155,1912
