Name,Frequency,YOB
John,39,1910
William,32,1910
James,26,1910
George,19,1910
Charles,17,1910
Kenneth,16,1910
Robert,16,1910
Henry,15,1910
Fred,13,1910
Frank,12,1910
Joseph,12,1910
Ralph,12,1910
Thomas,12,1910
Edward,11,1910
Carl,9,1910
Harold,9,1910
Albert,8,1910
Jack,8,1910
Leroy,8,1910
Max,8,1910
Owen,8,1910
Richard,8,1910
Arthur,7,1910
Clarence,7,1910
David,7,1910
Louis,7,1910
Paul,7,1910
Raymond,7,1910
Victor,7,1910
Wayne,7,1910
Elmer,6,1910
Lloyd,6,1910
Oscar,6,1910
Ray,6,1910
Don,5,1910
Lee,5,1910
Leslie,5,1910
Melvin,5,1910
Milton,5,1910
Norman,5,1910
Ronald,5,1910
Theodore,5,1910
Walter,5,1910
John,49,1911
George,39,1911
William,31,1911
James,28,1911
Robert,24,1911
Joseph,21,1911
Frank,20,1911
Charles,19,1911
Edward,17,1911
Raymond,14,1911
Arthur,12,1911
Kenneth,11,1911
Thomas,10,1911
David,9,1911
Donald,9,1911
Lawrence,9,1911
Glen,8,1911
Richard,8,1911
Walter,8,1911
Wilford,8,1911
Alfred,7,1911
Clyde,7,1911
Gilbert,7,1911
Harold,7,1911
Howard,7,1911
Paul,7,1911
Ralph,7,1911
Ray,7,1911
Roy,7,1911
Theodore,7,1911
Carl,6,1911
Clifford,6,1911
Earl,6,1911
Elmer,6,1911
Lewis,6,1911
Max,6,1911
Melvin,6,1911
Milton,6,1911
Reed,6,1911
Albert,5,1911
Clarence,5,1911
Don,5,1911
Ellis,5,1911
Herman,5,1911
Hugh,5,1911
Hyrum,5,1911
Jack,5,1911
Leo,5,1911
Leonard,5,1911
Lloyd,5,1911
Louis,5,1911
John,76,1912
William,74,1912
George,66,1912
James,60,1912
Joseph,43,1912
Robert,41,1912
Frank,40,1912
Harold,37,1912
Charles,29,1912
Edward,28,1912
Kenneth,28,1912
Ralph,27,1912
Clyde,25,1912
David,25,1912
Earl,24,1912
Paul,23,1912
Howard,22,1912
Henry,21,1912
Jack,21,1912
Walter,21,1912
Clarence,20,1912
Melvin,20,1912
Richard,20,1912
Albert,19,1912
Carl,18,1912
Grant,18,1912
Leroy,18,1912
Thomas,18,1912
Glen,17,1912
Ray,17,1912
Arthur,16,1912
Elmer,16,1912
Donald,15,1912
Raymond,15,1912
Roy,15,1912
Ernest,14,1912
Max,14,1912
Eugene,12,1912
Floyd,12,1912
Leo,12,1912
Don,11,1912
Harry,11,1912
Keith,11,1912
Lawrence,11,1912
Bert,10,1912
Fred,10,1912
Ivan,10,1912
Jay,10,1912
Lee,10,1912
Lloyd,10,1912
Wayne,10,1912
Clifford,9,1912
Dean,9,1912
Leonard,9,1912
Wendell,9,1912
Alma,8,1912
Dale,8,1912
Francis,8,1912
Lester,8,1912
Lewis,8,1912
Norman,8,1912
Russell,8,1912
Samuel,8,1912
Wilford,8,1912
Andrew,7,1912
Clark,7,1912
Ervin,7,1912
Glenn,7,1912
Joe,7,1912
Leon,7,1912
Mark,7,1912
Oscar,7,1912
Reed,7,1912
Roland,7,1912
Wesley,7,1912
Alfred,6,1912
Boyd,6,1912
Claude,6,1912
Douglas,6,1912
Edgar,6,1912
Franklin,6,1912
Gerald,6,1912
Gordon,6,1912
Herbert,6,1912
Horace,6,1912
Karl,6,1912
Lynn,6,1912
Marion,6,1912
Stanley,6,1912
Vernon,6,1912
Warren,6,1912
Arnold,5,1912
Delbert,5,1912
Edwin,5,1912
Elmo,5,1912
Leland,5,1912
Leslie,5,1912
Louis,5,1912
Rex,5,1912
Rodney,5,1912
Ronald,5,1912
Ross,5,1912
Theodore,5,1912
Virgil,5,1912
Wallace,5,1912
Woodrow,5,1912
John,114,1913
William,86,1913
James,67,1913
Joseph,58,1913
Robert,57,1913
George,51,1913
Harold,47,1913
Charles,45,1913
Richard,35,1913
Frank,33,1913
Arthur,27,1913
Edward,25,1913
Albert,24,1913
Earl,24,1913
Jack,24,1913
Melvin,24,1913
Raymond,24,1913
Howard,23,1913
Kenneth,23,1913
Donald,22,1913
Glen,22,1913
Ralph,22,1913
Walter,22,1913
David,21,1913
Max,21,1913
Grant,20,1913
Lawrence,20,1913
Paul,20,1913
Carl,18,1913
Clarence,18,1913
Don,18,1913
Louis,18,1913
Leonard,17,1913
Ray,17,1913
Thomas,17,1913
Fred,16,1913
Leo,16,1913
Alma,15,1913
Clyde,15,1913
Eugene,15,1913
Harry,15,1913
Roy,14,1913
Willard,14,1913
Ernest,13,1913
Russell,13,1913
Elmer,12,1913
Floyd,12,1913
Herbert,12,1913
Jay,12,1913
Lloyd,12,1913
Reed,12,1913
Wallace,12,1913
Allen,11,1913
Clifford,11,1913
Dean,11,1913
Henry,11,1913
Keith,11,1913
Leland,11,1913
Lester,11,1913
Marvin,11,1913
Norman,11,1913
Wayne,11,1913
Arnold,10,1913
Edwin,10,1913
Eldon,10,1913
Elmo,10,1913
Francis,10,1913
Glenn,10,1913
Joe,10,1913
Leroy,10,1913
Marion,10,1913
Rex,10,1913
Stanley,10,1913
Vernon,10,1913
Victor,10,1913
Woodrow,10,1913
Alfred,9,1913
Alvin,9,1913
Chester,9,1913
Lee,9,1913
Leon,9,1913
Parley,9,1913
Samuel,9,1913
Delbert,8,1913
Douglas,8,1913
Milton,8,1913
Bernard,7,1913
Boyd,7,1913
Clark,7,1913
Everett,7,1913
Harvey,7,1913
Ivan,7,1913
Karl,7,1913
Lamar,7,1913
Lewis,7,1913
Lowell,7,1913
Lynn,7,1913
Anthony,6,1913
Bert,6,1913
Blaine,6,1913
Dan,6,1913
Dee,6,1913
Elwood,6,1913
Evan,6,1913
Frederick,6,1913
Heber,6,1913
Leslie,6,1913
Lorenzo,6,1913
Mark,6,1913
Merlin,6,1913
Morris,6,1913
Myron,6,1913
Ned,6,1913
Peter,6,1913
Sidney,6,1913
Spencer,6,1913
Warren,6,1913
Wendell,6,1913
Benjamin,5,1913
Clair,5,1913
Claude,5,1913
Clifton,5,1913
Dale,5,1913
Gilbert,5,1913
Golden,5,1913
Gordon,5,1913
Herman,5,1913
Hugh,5,1913
Jesse,5,1913
Lorin,5,1913
Maurice,5,1913
Orville,5,1913
Phil,5,1913
Roscoe,5,1913
Ross,5,1913
Scott,5,1913
Verl,5,1913
Waldo,5,1913
Ward,5,1913
Willis,5,1913
John,165,1914
William,110,1914
James,107,1914
Robert,80,1914
George,76,1914
Frank,71,1914
Joseph,64,1914
Charles,58,1914
Harold,56,1914
Jack,48,1914
Ralph,38,1914
Thomas,37,1914
Max,36,1914
Ray,36,1914
Edward,35,1914
Arthur,34,1914
Glen,33,1914
Kenneth,33,1914
Albert,32,1914
Paul,31,1914
Richard,31,1914
Grant,29,1914
Clarence,28,1914
Howard,25,1914
Walter,25,1914
David,24,1914
Don,24,1914
Earl,24,1914
Floyd,24,1914
Keith,24,1914
Harry,23,1914
Henry,23,1914
Lawrence,23,1914
Roy,23,1914
Carl,22,1914
Lynn,22,1914
Ernest,21,1914
Dean,20,1914
Rex,20,1914
Donald,19,1914
Lloyd,19,1914
Raymond,19,1914
Elmer,18,1914
Fred,18,1914
Leo,18,1914
Eugene,17,1914
Jay,17,1914
Wayne,17,1914
Leland,16,1914
Lewis,16,1914
Francis,15,1914
Lee,15,1914
Leroy,15,1914
Andrew,14,1914
Bert,14,1914
Gerald,14,1914
Gordon,14,1914
Melvin,14,1914
Norman,14,1914
Owen,14,1914
Wallace,14,1914
Allen,13,1914
Boyd,13,1914
Clifford,13,1914
Harvey,13,1914
Herman,13,1914
Karl,13,1914
Alma,12,1914
Daniel,12,1914
Edwin,12,1914
Eldon,12,1914
Elmo,12,1914
Glenn,12,1914
Ivan,12,1914
Louis,12,1914
Milton,12,1914
Morris,12,1914
Samuel,12,1914
Alfred,11,1914
Byron,11,1914
Herbert,11,1914
Lester,11,1914
Reed,11,1914
Vernon,11,1914
Arnold,10,1914
Clyde,10,1914
Delbert,10,1914
Douglas,10,1914
Ross,10,1914
Virgil,10,1914
Woodrow,10,1914
Alvin,9,1914
Franklin,9,1914
Hyrum,9,1914
Leon,9,1914
Mark,9,1914
Marvin,9,1914
Russell,9,1914
Dee,8,1914
Ellis,8,1914
Jesse,8,1914
Joe,8,1914
Leslie,8,1914
Maurice,8,1914
Parley,8,1914
Philip,8,1914
Stanley,8,1914
Vern,8,1914
Willard,8,1914
Dale,7,1914
Lowell,7,1914
Theron,7,1914
Wendell,7,1914
Wesley,7,1914
Alexander,6,1914
Chester,6,1914
Dan,6,1914
Darwin,6,1914
Duane,6,1914
Elden,6,1914
Gilbert,6,1914
Horace,6,1914
Irvin,6,1914
Martin,6,1914
Merlin,6,1914
Ned,6,1914
Nick,6,1914
Pete,6,1914
Phillip,6,1914
Roland,6,1914
Ronald,6,1914
Shirley,6,1914
Sterling,6,1914
Vaughn,6,1914
Warren,6,1914
Wilford,6,1914
Alton,5,1914
Archie,5,1914
Ben,5,1914
Claude,5,1914
Clinton,5,1914
Conrad,5,1914
Doyle,5,1914
Dwight,5,1914
Forrest,5,1914
Frederick,5,1914
Hal,5,1914
Hugh,5,1914
Isaac,5,1914
Leonard,5,1914
Lyman,5,1914
Royal,5,1914
Rulon,5,1914
John,172,1915
William,168,1915
Robert,98,1915
George,95,1915
James,88,1915
Joseph,81,1915
Charles,69,1915
Jack,67,1915
Frank,66,1915
Harold,66,1915
Richard,57,1915
Thomas,56,1915
Ray,55,1915
Donald,54,1915
David,48,1915
Glen,47,1915
Paul,46,1915
Kenneth,44,1915
Arthur,43,1915
Henry,43,1915
Ralph,42,1915
Don,41,1915
Earl,40,1915
Raymond,39,1915
Edward,37,1915
Fred,37,1915
Clarence,35,1915
Howard,35,1915
Wayne,32,1915
Albert,31,1915
Grant,31,1915
Roy,31,1915
Walter,31,1915
Elmer,29,1915
Lawrence,28,1915
Melvin,28,1915
Max,27,1915
Russell,27,1915
Dean,26,1915
Louis,26,1915
Carl,25,1915
Lynn,25,1915
Leonard,23,1915
Lloyd,23,1915
Mark,23,1915
Clyde,22,1915
Dale,22,1915
Floyd,22,1915
Allen,21,1915
Reed,21,1915
Francis,20,1915
Harry,20,1915
Norman,20,1915
Alfred,19,1915
Gordon,19,1915
Jay,19,1915
Keith,18,1915
Owen,18,1915
Bert,17,1915
Blaine,17,1915
Clifford,17,1915
Ernest,17,1915
Eugene,17,1915
Rex,17,1915
Wallace,17,1915
Wilford,17,1915
Alvin,16,1915
Boyd,16,1915
Gerald,16,1915
Glenn,16,1915
Leo,16,1915
Marvin,16,1915
Arnold,15,1915
Ivan,15,1915
Leland,15,1915
Ronald,15,1915
Vernon,15,1915
Morris,14,1915
Samuel,14,1915
Cecil,13,1915
Edwin,13,1915
Leroy,13,1915
Leslie,13,1915
Wesley,13,1915
Dee,12,1915
Stanley,12,1915
Verl,12,1915
Victor,12,1915
Willard,12,1915
Elmo,11,1915
Lee,11,1915
Maurice,11,1915
Claude,10,1915
Daniel,10,1915
Eldon,10,1915
Ellis,10,1915
Everett,10,1915
Joe,10,1915
Lester,10,1915
