Name,Frequency,YOB
James,461,1910
William,381,1910
John,342,1910
Robert,228,1910
George,198,1910
Charles,159,1910
Thomas,129,1910
Edward,109,1910
Joseph,108,1910
Willie,105,1910
Henry,95,1910
Frank,75,1910
Charlie,72,1910
Walter,72,1910
Clarence,68,1910
Richard,64,1910
Harry,60,1910
Raymond,58,1910
Roy,55,1910
Albert,54,1910
Samuel,51,1910
Paul,49,1910
Arthur,48,1910
Howard,47,1910
Ernest,41,1910
Fred,37,1910
Herman,35,1910
David,34,1910
Jack,33,1910
Ralph,33,1910
Lewis,31,1910
Norman,30,1910
Herbert,29,1910
Theodore,29,1910
Russell,28,1910
Cecil,26,1910
Leonard,25,1910
Alfred,24,1910
Eddie,24,1910
Jessie,24,1910
Benjamin,23,1910
Carl,23,1910
Floyd,23,1910
Luther,23,1910
Claude,22,1910
Daniel,22,1910
Louis,22,1910
Earl,21,1910
Eugene,21,1910
Lawrence,21,1910
Lee,21,1910
Leroy,21,1910
Linwood,21,1910
Sam,21,1910
Harold,20,1910
Joe,20,1910
Percy,20,1910
Allen,19,1910
Elmer,19,1910
Milton,19,1910
Clyde,18,1910
Alexander,17,1910
Bernard,17,1910
Jesse,17,1910
Oscar,17,1910
Andrew,16,1910
Emmett,16,1910
Everett,16,1910
Harvey,16,1910
Johnnie,16,1910
Lester,16,1910
Tom,16,1910
Aubrey,15,1910
Edwin,15,1910
Melvin,15,1910
Otis,15,1910
Ray,15,1910
Edgar,14,1910
Homer,14,1910
Horace,14,1910
Ben,13,1910
Curtis,13,1910
Earnest,13,1910
Vernon,13,1910
Clifton,12,1910
Hubert,12,1910
Leslie,12,1910
Lloyd,12,1910
Moses,12,1910
Rufus,12,1910
Francis,11,1910
Hugh,11,1910
Johnny,11,1910
Kenneth,11,1910
Sidney,11,1910
Wallace,11,1910
Archie,10,1910
Booker,10,1910
Clifford,10,1910
Gordon,10,1910
Leon,10,1910
Oliver,10,1910
Wilbur,10,1910
Willis,10,1910
Clinton,9,1910
Douglas,9,1910
Elbert,9,1910
Nathaniel,9,1910
Willard,9,1910
Alvin,8,1910
Arnold,8,1910
Ellis,8,1910
Garland,8,1910
Gilbert,8,1910
Irving,8,1910
Isaac,8,1910
Johnie,8,1910
Junius,8,1910
Patrick,8,1910
Philip,8,1910
Phillip,8,1910
Wesley,8,1910
Abner,7,1910
Bennie,7,1910
Donald,7,1910
Frederick,7,1910
Grover,7,1910
Jacob,7,1910
Jerry,7,1910
Julian,7,1910
Lonnie,7,1910
Marshall,7,1910
Mary,7,1910
Morris,7,1910
Nelson,7,1910
Randolph,7,1910
Roosevelt,7,1910
Roscoe,7,1910
Royal,7,1910
Alex,6,1910
Alphonso,6,1910
Bill,6,1910
Calvin,6,1910
Chester,6,1910
Clayton,6,1910
Cleveland,6,1910
Felix,6,1910
Glenn,6,1910
Irvin,6,1910
Jake,6,1910
Kermit,6,1910
Lacy,6,1910
Marvin,6,1910
Matthew,6,1910
Mckinley,6,1910
Stephen,6,1910
Sylvester,6,1910
Will,6,1910
Aaron,5,1910
Beverly,5,1910
Bruce,5,1910
Buster,5,1910
Cornelius,5,1910
Dennis,5,1910
Fletcher,5,1910
Freddie,5,1910
Garfield,5,1910
Guy,5,1910
Jerome,5,1910
Jim,5,1910
Julius,5,1910
Lynwood,5,1910
Martin,5,1910
Roger,5,1910
Sandy,5,1910
Stewart,5,1910
Stuart,5,1910
Ted,5,1910
Thornton,5,1910
Wendell,5,1910
Wilbert,5,1910
Wiley,5,1910
Wilson,5,1910
James,505,1911
William,494,1911
John,370,1911
Robert,226,1911
George,209,1911
Charles,183,1911
Joseph,113,1911
Thomas,104,1911
Willie,102,1911
Henry,96,1911
Edward,94,1911
Walter,92,1911
Richard,86,1911
Charlie,83,1911
Frank,82,1911
Clarence,77,1911
Harry,69,1911
Raymond,65,1911
Samuel,62,1911
Fred,59,1911
Arthur,55,1911
Howard,55,1911
Roy,54,1911
Ralph,50,1911
Ernest,49,1911
David,47,1911
Albert,42,1911
Paul,42,1911
Herman,39,1911
Herbert,38,1911
Earl,36,1911
Floyd,35,1911
Joe,35,1911
Lewis,35,1911
Carl,33,1911
Russell,32,1911
Eugene,29,1911
Lawrence,28,1911
Jack,27,1911
Benjamin,26,1911
Andrew,25,1911
Bernard,25,1911
Harold,25,1911
Claude,24,1911
Curtis,23,1911
Jesse,23,1911
Louis,23,1911
Alfred,22,1911
Edgar,22,1911
Lee,22,1911
Luther,22,1911
Oscar,21,1911
Vernon,21,1911
Allen,20,1911
Clifton,20,1911
Francis,20,1911
Leroy,20,1911
Lloyd,20,1911
Melvin,20,1911
Milton,20,1911
Jessie,19,1911
Sam,19,1911
Harvey,18,1911
Marvin,18,1911
Percy,18,1911
Ray,18,1911
Leonard,17,1911
Cecil,16,1911
Rufus,16,1911
Daniel,15,1911
Elmer,15,1911
Nathaniel,15,1911
Clifford,14,1911
Douglas,14,1911
Jacob,14,1911
Johnnie,14,1911
Kenneth,14,1911
Stanley,14,1911
Bennie,13,1911
Clyde,13,1911
Emmett,13,1911
Frederick,13,1911
Horace,13,1911
Leon,13,1911
Theodore,13,1911
Tom,13,1911
Alexander,12,1911
Aubrey,12,1911
Earnest,12,1911
Irvin,12,1911
Lester,12,1911
Loyd,12,1911
Moses,12,1911
Oliver,12,1911
Wilbur,12,1911
Abraham,11,1911
Archie,11,1911
Buster,11,1911
Eddie,11,1911
Franklin,11,1911
Hugh,11,1911
Linwood,11,1911
Nelson,11,1911
Ollie,11,1911
Wilbert,11,1911
