Name,Frequency,YOB
George,16,1910
Charles,15,1910
Edward,15,1910
James,15,1910
John,15,1910
Paul,15,1910
William,14,1910
Robert,12,1910
Albert,11,1910
Joseph,11,1910
Lawrence,11,1910
Harold,10,1910
Francis,9,1910
Frank,9,1910
Richard,8,1910
Clarence,7,1910
Donald,7,1910
Ernest,7,1910
Raymond,7,1910
Walter,7,1910
Arthur,6,1910
Henry,6,1910
Leslie,6,1910
Bernard,5,1910
Fred,5,1910
Howard,5,1910
Kenneth,5,1910
Ralph,5,1910
Thomas,5,1910
John,33,1911
William,32,1911
George,25,1911
Robert,24,1911
Raymond,22,1911
Charles,20,1911
Francis,18,1911
Edward,17,1911
Harold,17,1911
Ralph,15,1911
Kenneth,14,1911
Albert,13,1911
Paul,13,1911
Clarence,12,1911
James,12,1911
Stanley,12,1911
Walter,12,1911
Joseph,11,1911
Arthur,9,1911
Gerald,9,1911
Lawrence,9,1911
Earl,8,1911
David,7,1911
Donald,7,1911
Frank,7,1911
Gordon,7,1911
Harry,7,1911
Herbert,7,1911
Howard,7,1911
Louis,7,1911
Richard,7,1911
Clifford,6,1911
Eugene,6,1911
Henry,6,1911
Leo,6,1911
Leonard,6,1911
Maurice,6,1911
Clement,5,1911
Ernest,5,1911
Everett,5,1911
Floyd,5,1911
Fred,5,1911
Frederick,5,1911
Nelson,5,1911
Norman,5,1911
Roger,5,1911
Russell,5,1911
Thomas,5,1911
Winfred,5,1911
William,55,1912
George,49,1912
John,43,1912
Robert,39,1912
Edward,33,1912
Charles,31,1912
Raymond,29,1912
Richard,29,1912
Howard,25,1912
Joseph,23,1912
Harold,20,1912
Kenneth,20,1912
Donald,19,1912
Frank,19,1912
Arthur,18,1912
Paul,18,1912
Francis,17,1912
Walter,17,1912
Ernest,16,1912
Ralph,16,1912
James,15,1912
Harry,14,1912
Albert,12,1912
Bernard,12,1912
Gordon,12,1912
Henry,12,1912
Leo,12,1912
Earl,11,1912
Fred,11,1912
Frederick,11,1912
Lawrence,11,1912
Thomas,11,1912
Alfred,10,1912
Theodore,10,1912
Clarence,9,1912
Michael,9,1912
Stanley,9,1912
Warren,9,1912
Clifford,8,1912
Roland,8,1912
Wesley,8,1912
Carl,7,1912
Carroll,7,1912
Lester,7,1912
Louis,7,1912
Roy,7,1912
Arnold,6,1912
David,6,1912
Elmer,6,1912
Herbert,6,1912
Leonard,6,1912
Leslie,6,1912
Maurice,6,1912
Allen,5,1912
Chester,5,1912
Clyde,5,1912
Edwin,5,1912
Everett,5,1912
Floyd,5,1912
Norman,5,1912
Reginald,5,1912
Roger,5,1912
Stephen,5,1912
Wilfred,5,1912
John,95,1913
Robert,61,1913
George,47,1913
William,46,1913
Charles,39,1913
Francis,37,1913
Edward,34,1913
Joseph,33,1913
Kenneth,30,1913
Richard,28,1913
Arthur,26,1913
James,26,1913
Raymond,26,1913
Harold,25,1913
Paul,25,1913
Ralph,24,1913
Thomas,22,1913
Harry,19,1913
Henry,19,1913
Clarence,18,1913
Howard,18,1913
Albert,16,1913
Donald,16,1913
Walter,16,1913
Maurice,15,1913
Gordon,14,1913
Lawrence,13,1913
Alfred,12,1913
Bernard,12,1913
Earl,12,1913
Ernest,12,1913
Frank,12,1913
Philip,12,1913
Leo,11,1913
Fred,10,1913
Frederick,10,1913
Leonard,10,1913
David,9,1913
Gerald,9,1913
Andrew,8,1913
Daniel,8,1913
Floyd,8,1913
Lloyd,8,1913
Louis,8,1913
Burton,7,1913
Clifford,7,1913
Edwin,7,1913
Leon,7,1913
Russell,7,1913
Stanley,7,1913
Anthony,6,1913
Carl,6,1913
Chester,6,1913
Elmer,6,1913
Glenn,6,1913
Max,6,1913
Michael,6,1913
Milton,6,1913
Norman,6,1913
Roger,6,1913
Vernon,6,1913
Alexander,5,1913
Allan,5,1913
Alvin,5,1913
Carroll,5,1913
Herbert,5,1913
Patrick,5,1913
Ray,5,1913
Theodore,5,1913
Victor,5,1913
Wallace,5,1913
Wilfred,5,1913
Winston,5,1913
John,96,1914
George,74,1914
Robert,60,1914
William,57,1914
Edward,47,1914
Harold,47,1914
Joseph,47,1914
Kenneth,44,1914
Raymond,44,1914
Charles,43,1914
Donald,34,1914
Richard,34,1914
Paul,32,1914
Harry,31,1914
James,30,1914
Howard,29,1914
Albert,27,1914
Ernest,27,1914
Francis,26,1914
Frank,26,1914
Arthur,25,1914
Earl,24,1914
Bernard,23,1914
Henry,23,1914
Walter,23,1914
Lawrence,21,1914
Wendell,20,1914
Maurice,19,1914
Ralph,19,1914
Clarence,18,1914
Gordon,18,1914
Leo,18,1914
Leonard,17,1914
Frederick,16,1914
Gerald,16,1914
Thomas,16,1914
Fred,15,1914
Philip,14,1914
Stanley,13,1914
Clifford,12,1914
Russell,12,1914
Carl,11,1914
Daniel,11,1914
Louis,11,1914
Carroll,10,1914
Floyd,10,1914
Roger,10,1914
Andrew,9,1914
Archie,9,1914
Edwin,9,1914
Herbert,9,1914
Leslie,9,1914
Theodore,9,1914
Allen,8,1914
Elwin,8,1914
Michael,8,1914
Wayne,8,1914
Alfred,7,1914
Laurence,7,1914
Lloyd,7,1914
Norman,7,1914
Arnold,6,1914
Edmund,6,1914
Elmer,6,1914
Perley,6,1914
Roland,6,1914
Vernon,6,1914
Wilbur,6,1914
Wilfred,6,1914
Willard,6,1914
Clifton,5,1914
David,5,1914
Everett,5,1914
Keith,5,1914
Leon,5,1914
Leroy,5,1914
Lewis,5,1914
Marshall,5,1914
Reginald,5,1914
Winston,5,1914
John,109,1915
Robert,91,1915
George,75,1915
Charles,67,1915
William,67,1915
James,57,1915
Joseph,57,1915
Edward,52,1915
Richard,50,1915
Francis,47,1915
Raymond,47,1915
Harold,44,1915
Paul,42,1915
Donald,38,1915
Henry,38,1915
Arthur,37,1915
Kenneth,37,1915
Howard,32,1915
Ralph,32,1915
Frank,30,1915
Albert,27,1915
Walter,27,1915
Gerald,26,1915
Stanley,25,1915
Clarence,24,1915
Lawrence,24,1915
Bernard,23,1915
Ernest,23,1915
Frederick,23,1915
Louis,23,1915
Gordon,19,1915
Harry,19,1915
Alfred,18,1915
Herbert,18,1915
Leo,18,1915
Norman,16,1915
Roger,16,1915
Thomas,16,1915
Arnold,15,1915
Carl,15,1915
Clifford,15,1915
Fred,15,1915
Earl,13,1915
Floyd,13,1915
Roland,13,1915
Maurice,12,1915
Anthony,11,1915
Clayton,11,1915
Everett,11,1915
Russell,11,1915
Theodore,11,1915
Carroll,10,1915
Clyde,10,1915
David,10,1915
Eugene,10,1915
Leonard,10,1915
Philip,10,1915
Roy,10,1915
Wilfred,10,1915
Earle,9,1915
Lloyd,9,1915
Stuart,9,1915
Wendell,9,1915
Allen,8,1915
Archie,8,1915
Homer,8,1915
Nelson,8,1915
Wallace,8,1915
Willard,8,1915
Andrew,7,1915
Clifton,7,1915
Edwin,7,1915
Elwin,7,1915
Lewis,7,1915
Oscar,7,1915
Ronald,7,1915
Wilson,7,1915
Alvin,6,1915
Carlton,6,1915
Chester,6,1915
Daniel,6,1915
Elmer,6,1915
Gilbert,6,1915
Hugh,6,1915
Irving,6,1915
Leon,6,1915
Martin,6,1915
Alden,5,1915
Alton,5,1915
Erwin,5,1915
Forrest,5,1915
Harvey,5,1915
Hollis,5,1915
Laurence,5,1915
Leslie,5,1915
Merton,5,1915
Neal,5,1915
Peter,5,1915
Reginald,5,1915
Theron,5,1915
Vernon,5,1915
Wilbur,5,1915
Winston,5,1915
Woodrow,5,1915
Robert,132,1916
John,104,1916
Charles,73,1916
George,68,1916
William,65,1916
Edward,59,1916
Richard,58,1916
James,57,1916
Francis,55,1916
Joseph,51,1916
Kenneth,49,1916
Harold,47,1916
Raymond,47,1916
Frank,42,1916
Arthur,39,1916
Albert,36,1916
Howard,36,1916
Ralph,36,1916
Donald,35,1916
Henry,33,1916
Paul,33,1916
Bernard,27,1916
Lawrence,27,1916
Ernest,25,1916
Thomas,23,1916
Louis,22,1916
Maurice,22,1916
Walter,22,1916
Earl,19,1916
Harry,19,1916
Stanley,19,1916
Frederick,18,1916
Gordon,18,1916
Carl,17,1916
David,16,1916
Leo,16,1916
Leonard,16,1916
Edwin,15,1916
Floyd,15,1916
Chester,14,1916
Alfred,13,1916
Gerald,13,1916
Herbert,13,1916
Fred,12,1916
Leon,12,1916
Norman,12,1916
Russell,12,1916
Clarence,11,1916
Roger,11,1916
Roy,11,1916
Arnold,10,1916
Hugh,10,1916
Michael,10,1916
Ray,10,1916
Reginald,10,1916
Samuel,10,1916
Wayne,10,1916
Wilfred,10,1916
Allen,9,1916
Andrew,9,1916
Eugene,9,1916
Everett,9,1916
Leslie,9,1916
Lester,9,1916
Peter,9,1916
Willard,9,1916
Alexander,8,1916
