Name,Frequency,YOB
James,75,1910
John,69,1910
Robert,63,1910
William,62,1910
Charles,47,1910
George,43,1910
Edward,37,1910
Harold,32,1910
Donald,29,1910
Carl,28,1910
Frank,25,1910
Fred,25,1910
Joseph,24,1910
Arthur,23,1910
Raymond,23,1910
Walter,23,1910
Paul,22,1910
Richard,21,1910
Harry,20,1910
Henry,20,1910
Roy,20,1910
Francis,16,1910
Kenneth,16,1910
Lawrence,16,1910
Ralph,16,1910
Clifford,14,1910
David,13,1910
Earl,13,1910
Jack,13,1910
Thomas,13,1910
Albert,12,1910
Clarence,12,1910
Clyde,12,1910
Herbert,12,1910
Leo,12,1910
Lloyd,12,1910
Stanley,12,1910
Martin,11,1910
Orville,11,1910
Gilbert,10,1910
Glen,10,1910
Howard,10,1910
Norman,10,1910
Wallace,10,1910
Don,9,1910
Elmer,9,1910
Joe,9,1910
Ray,9,1910
Russell,9,1910
Wayne,9,1910
Eugene,8,1910
Frederick,8,1910
Vernon,8,1910
Claude,7,1910
Edwin,7,1910
Chester,6,1910
Daniel,6,1910
Ernest,6,1910
Lee,6,1910
Leonard,6,1910
Lester,6,1910
Marion,6,1910
Ben,5,1910
Cecil,5,1910
Everett,5,1910
Forrest,5,1910
Glenn,5,1910
Jerome,5,1910
Jesse,5,1910
Leslie,5,1910
Marvin,5,1910
Mike,5,1910
Patrick,5,1910
Philip,5,1910
Victor,5,1910
John,113,1911
William,86,1911
Robert,82,1911
James,61,1911
George,58,1911
Charles,39,1911
Harold,38,1911
Frank,36,1911
Edward,34,1911
Thomas,28,1911
Harry,27,1911
Joseph,27,1911
Richard,27,1911
Walter,26,1911
Albert,25,1911
Arthur,24,1911
Clarence,24,1911
Jack,24,1911
Paul,24,1911
Fred,23,1911
Carl,21,1911
Donald,21,1911
Eugene,21,1911
Gordon,20,1911
Ralph,20,1911
Howard,19,1911
Roy,18,1911
Earl,17,1911
Kenneth,17,1911
Lawrence,17,1911
Henry,15,1911
Raymond,13,1911
Ray,12,1911
Alfred,11,1911
Cecil,11,1911
Chester,11,1911
Clifford,11,1911
Glen,11,1911
Herbert,11,1911
David,10,1911
Everett,10,1911
Gerald,10,1911
Joe,10,1911
Andrew,9,1911
Ernest,9,1911
Floyd,9,1911
Hugh,9,1911
Louis,9,1911
Melvin,9,1911
Stanley,9,1911
Theodore,9,1911
Elmer,8,1911
Lester,8,1911
Lloyd,8,1911
Victor,8,1911
Archie,7,1911
Ben,7,1911
Eddie,7,1911
Herman,7,1911
Leonard,7,1911
Leslie,7,1911
Peter,7,1911
Warren,7,1911
Wesley,7,1911
Alvin,6,1911
Anthony,6,1911
Frederick,6,1911
Russell,6,1911
Willard,6,1911
Clayton,5,1911
Dan,5,1911
Francis,5,1911
Gilbert,5,1911
Glenn,5,1911
Martin,5,1911
Orville,5,1911
Philip,5,1911
Samuel,5,1911
Vernon,5,1911
John,229,1912
Robert,166,1912
William,156,1912
James,123,1912
George,109,1912
Charles,81,1912
Frank,72,1912
Edward,71,1912
Harold,71,1912
Donald,65,1912
Richard,60,1912
Arthur,57,1912
Walter,57,1912
Jack,56,1912
Howard,50,1912
Joseph,50,1912
Albert,49,1912
Thomas,47,1912
Harry,42,1912
Kenneth,42,1912
Carl,40,1912
Henry,39,1912
Fred,38,1912
Paul,38,1912
Raymond,38,1912
Ralph,36,1912
Lawrence,34,1912
Ernest,31,1912
Clarence,30,1912
David,29,1912
Louis,29,1912
Roy,29,1912
Elmer,27,1912
Alfred,26,1912
Eugene,26,1912
Earl,23,1912
Edwin,23,1912
Lester,21,1912
Theodore,21,1912
Floyd,20,1912
Philip,20,1912
Clifford,19,1912
Gordon,19,1912
Lloyd,19,1912
Stanley,19,1912
Joe,18,1912
Melvin,18,1912
Ray,18,1912
Bernard,17,1912
Glenn,17,1912
Leonard,17,1912
Oscar,17,1912
Francis,16,1912
Leo,16,1912
Chester,15,1912
Frederick,15,1912
Herbert,13,1912
Russell,13,1912
Allen,12,1912
Daniel,12,1912
Glen,12,1912
Michael,12,1912
Willard,12,1912
Woodrow,12,1912
Alvin,11,1912
Jay,11,1912
Marvin,11,1912
Norman,11,1912
Anthony,10,1912
Ben,10,1912
Gilbert,10,1912
Harvey,10,1912
Herman,10,1912
Wayne,10,1912
Wesley,10,1912
Andrew,9,1912
Clyde,9,1912
Don,9,1912
Everett,9,1912
Lee,9,1912
Martin,9,1912
Maurice,9,1912
Peter,9,1912
Ronald,9,1912
Samuel,9,1912
Vernon,9,1912
Claude,8,1912
Dale,8,1912
Homer,8,1912
Ivan,8,1912
Lewis,8,1912
Marion,8,1912
Merle,8,1912
Orville,8,1912
Otto,8,1912
Victor,8,1912
Arnold,7,1912
Benjamin,7,1912
Leroy,7,1912
Leslie,7,1912
