Name,Frequency,YOB
John,130,1910
William,100,1910
Joseph,80,1910
Edward,74,1910
Robert,65,1910
George,64,1910
Frank,57,1910
Harold,57,1910
Walter,57,1910
Charles,55,1910
Arthur,50,1910
Clarence,50,1910
Henry,50,1910
Elmer,46,1910
James,45,1910
Albert,44,1910
Harry,37,1910
Carl,34,1910
Lawrence,33,1910
Raymond,31,1910
Thomas,30,1910
Earl,29,1910
Alfred,28,1910
Paul,27,1910
Leo,24,1910
Donald,23,1910
Richard,23,1910
Roy,23,1910
Anthony,22,1910
Fred,22,1910
Herbert,22,1910
Howard,21,1910
Jack,21,1910
Leonard,21,1910
Lester,21,1910
Ralph,21,1910
Edwin,20,1910
Louis,19,1910
Norman,19,1910
Ernest,18,1910
Harvey,18,1910
Kenneth,18,1910
Theodore,18,1910
Stanley,17,1910
Victor,17,1910
Bernard,16,1910
David,16,1910
Floyd,16,1910
Arnold,15,1910
Gilbert,15,1910
Alvin,14,1910
Clifford,14,1910
Ervin,14,1910
Francis,14,1910
Herman,14,1910
Peter,14,1910
Russell,14,1910
Melvin,13,1910
Oscar,13,1910
Ray,13,1910
Andrew,12,1910
Clyde,12,1910
Frederick,12,1910
Gordon,12,1910
Orville,12,1910
Rudolph,12,1910
Chester,11,1910
Eugene,11,1910
Glen,11,1910
Marvin,11,1910
Michael,11,1910
Norbert,11,1910
Otto,11,1910
Sylvester,11,1910
Edmund,10,1910
Emil,10,1910
Lloyd,10,1910
Martin,10,1910
Milton,10,1910
Anton,9,1910
August,9,1910
Julius,9,1910
Leroy,9,1910
Leslie,9,1910
Vincent,9,1910
Daniel,8,1910
Gerald,8,1910
Joe,8,1910
Merle,8,1910
Roland,8,1910
Vernon,8,1910
Wallace,8,1910
Adolph,7,1910
Alex,7,1910
Bert,7,1910
Clement,7,1910
Ivan,7,1910
Roger,7,1910
Stephen,7,1910
Willard,7,1910
Allen,6,1910
Alois,6,1910
Ben,6,1910
Lee,6,1910
Philip,6,1910
Reino,6,1910
Roman,6,1910
Tony,6,1910
Benjamin,5,1910
Burton,5,1910
Erwin,5,1910
Everett,5,1910
Glenn,5,1910
Hugo,5,1910
Jerome,5,1910
Kermit,5,1910
Maurice,5,1910
Reuben,5,1910
Samuel,5,1910
Wilbert,5,1910
John,163,1911
Edward,99,1911
George,96,1911
Robert,90,1911
William,89,1911
Joseph,77,1911
Charles,70,1911
Clarence,67,1911
Harold,67,1911
Frank,64,1911
Raymond,61,1911
Walter,60,1911
Henry,50,1911
Arthur,48,1911
Harry,42,1911
James,40,1911
Donald,36,1911
Elmer,35,1911
Lawrence,35,1911
Albert,34,1911
Carl,32,1911
Bernard,30,1911
Fred,29,1911
Howard,29,1911
Paul,29,1911
Richard,29,1911
Gordon,28,1911
Herbert,28,1911
Edwin,27,1911
Lester,27,1911
Kenneth,26,1911
Leonard,26,1911
Stanley,26,1911
Francis,23,1911
Harvey,23,1911
Louis,23,1911
Leo,22,1911
Clifford,21,1911
Milton,21,1911
Ervin,20,1911
Norman,20,1911
Thomas,20,1911
Frederick,19,1911
Michael,19,1911
Ralph,19,1911
Alfred,18,1911
Jack,18,1911
Lloyd,18,1911
Theodore,18,1911
Alvin,17,1911
Arnold,17,1911
Ray,17,1911
Roy,17,1911
Russell,17,1911
Earl,16,1911
Joe,16,1911
Melvin,16,1911
Andrew,15,1911
Eugene,15,1911
Gilbert,15,1911
Peter,15,1911
Chester,14,1911
Floyd,14,1911
Otto,14,1911
Rudolph,14,1911
Vernon,14,1911
Anthony,13,1911
David,13,1911
Emil,12,1911
Marvin,12,1911
Anton,11,1911
Daniel,11,1911
Herman,11,1911
Leroy,11,1911
Martin,11,1911
Orville,11,1911
Glenn,10,1911
Lyle,10,1911
Norbert,10,1911
Oscar,10,1911
Clayton,9,1911
Erwin,9,1911
Willard,9,1911
Alex,8,1911
Ben,8,1911
Max,8,1911
Samuel,8,1911
Victor,8,1911
Allen,7,1911
Benjamin,7,1911
Edgar,7,1911
Edmund,7,1911
