Name,Frequency,YOB
William,151,1910
James,134,1910
John,125,1910
Charles,95,1910
Robert,70,1910
George,68,1910
Joseph,45,1910
Harry,43,1910
Frank,41,1910
Edward,38,1910
Walter,37,1910
Howard,34,1910
Clarence,33,1910
Fred,32,1910
Paul,32,1910
Thomas,29,1910
Earl,28,1910
Ralph,28,1910
Russell,27,1910
Harold,26,1910
Roy,26,1910
Raymond,24,1910
Albert,23,1910
Carl,23,1910
Henry,23,1910
Eugene,22,1910
Willie,21,1910
Donald,19,1910
Samuel,19,1910
Arthur,18,1910
Cecil,18,1910
Jack,18,1910
Richard,18,1910
Ernest,17,1910
Herbert,17,1910
Ray,16,1910
Melvin,14,1910
Clifford,13,1910
Kenneth,13,1910
Leonard,13,1910
Chester,12,1910
Joe,12,1910
Lawrence,12,1910
Lester,12,1910
Norman,12,1910
David,11,1910
Homer,11,1910
Jesse,11,1910
Louis,11,1910
Luther,11,1910
Hubert,10,1910
Lewis,10,1910
Theodore,10,1910
Alva,9,1910
Arnold,9,1910
Claude,9,1910
Clyde,9,1910
Elmer,9,1910
Floyd,9,1910
Francis,9,1910
Herman,9,1910
Alfred,8,1910
Charlie,8,1910
Curtis,8,1910
Daniel,8,1910
Edgar,8,1910
Everett,8,1910
Kermit,8,1910
Sam,8,1910
Wayne,8,1910
Wilbur,8,1910
Alonzo,7,1910
Edwin,7,1910
Frederick,7,1910
Gilbert,7,1910
Glen,7,1910
Lee,7,1910
Leroy,7,1910
Leslie,7,1910
Virgil,7,1910
Aubrey,6,1910
Boyd,6,1910
Charley,6,1910
Dale,6,1910
Forest,6,1910
Gerald,6,1910
Glenn,6,1910
Ira,6,1910
Lloyd,6,1910
Michael,6,1910
Oliver,6,1910
Oscar,6,1910
Philip,6,1910
Stanley,6,1910
Aaron,5,1910
Calvin,5,1910
Earnest,5,1910
Edison,5,1910
Estel,5,1910
Ezra,5,1910
Guy,5,1910
Harley,5,1910
Marvin,5,1910
Thurman,5,1910
Wilbert,5,1910
Willard,5,1910
Willis,5,1910
William,183,1911
John,151,1911
James,146,1911
Charles,120,1911
Robert,97,1911
George,74,1911
Harry,60,1911
Joseph,57,1911
Frank,49,1911
Edward,40,1911
Paul,39,1911
Raymond,38,1911
Howard,37,1911
Roy,37,1911
Ralph,36,1911
Thomas,36,1911
Albert,35,1911
Earl,32,1911
Henry,30,1911
Harold,28,1911
Clarence,27,1911
Fred,27,1911
Walter,27,1911
Carl,26,1911
David,25,1911
Kenneth,24,1911
Lawrence,24,1911
Clyde,22,1911
Herbert,22,1911
Richard,22,1911
Samuel,21,1911
Arthur,20,1911
Elmer,20,1911
Ernest,20,1911
Homer,20,1911
Donald,19,1911
Bernard,18,1911
Ray,18,1911
Floyd,17,1911
Louis,17,1911
Everett,16,1911
Joe,16,1911
Lewis,16,1911
Cecil,15,1911
Eugene,15,1911
Russell,15,1911
Virgil,15,1911
Clifford,14,1911
Luther,14,1911
Willie,14,1911
Edgar,13,1911
Hubert,13,1911
Leonard,13,1911
Oscar,13,1911
Andrew,12,1911
Delbert,12,1911
Herman,12,1911
Lee,12,1911
Marvin,12,1911
Melvin,12,1911
Sam,12,1911
Basil,11,1911
Chester,11,1911
Claude,11,1911
Jesse,11,1911
Lester,10,1911
Lloyd,10,1911
Allen,9,1911
Alvin,9,1911
Arnold,9,1911
Jack,9,1911
Woodrow,9,1911
Alfred,8,1911
Earnest,8,1911
Edwin,8,1911
Glenn,8,1911
Michael,8,1911
Norman,8,1911
Oliver,8,1911
Anthony,7,1911
Charlie,7,1911
Francis,7,1911
Guy,7,1911
Ira,7,1911
Jessie,7,1911
Julian,7,1911
Lonnie,7,1911
Theodore,7,1911
Willard,7,1911
Archie,6,1911
Aubrey,6,1911
Dale,6,1911
Daniel,6,1911
Frederick,6,1911
Hobert,6,1911
Otis,6,1911
