Name,Frequency,YOB
James,20,1910
John,16,1910
Robert,13,1910
George,12,1910
William,12,1910
Charles,8,1910
Raymond,6,1910
Thomas,6,1910
Clarence,5,1910
Donald,5,1910
Henry,5,1910
Joseph,5,1910
Lawrence,5,1910
Roy,5,1910
John,17,1911
William,15,1911
Robert,14,1911
George,12,1911
James,12,1911
Charles,9,1911
Louis,9,1911
Harold,8,1911
Kenneth,8,1911
Thomas,7,1911
Joseph,6,1911
Albert,5,1911
Frank,5,1911
Harry,5,1911
Richard,5,1911
John,33,1912
James,25,1912
George,23,1912
William,20,1912
Charles,19,1912
Edward,15,1912
Robert,14,1912
Howard,12,1912
Frank,10,1912
Henry,10,1912
Richard,9,1912
Thomas,9,1912
Albert,8,1912
Ernest,8,1912
Eugene,8,1912
Fred,8,1912
Gordon,8,1912
Jack,8,1912
Kenneth,8,1912
Donald,7,1912
Carl,6,1912
Harold,6,1912
Joe,6,1912
Joseph,6,1912
Ralph,6,1912
Clarence,5,1912
Clyde,5,1912
Elmer,5,1912
Francis,5,1912
Harry,5,1912
Louis,5,1912
Roy,5,1912
John,47,1913
William,34,1913
James,28,1913
Robert,27,1913
George,22,1913
Frank,18,1913
Charles,17,1913
Donald,15,1913
Carl,13,1913
Walter,13,1913
Clarence,12,1913
Thomas,12,1913
Paul,11,1913
Albert,10,1913
Richard,10,1913
Arthur,9,1913
Harry,9,1913
Chester,8,1913
Joseph,8,1913
Louis,8,1913
Edward,7,1913
Fred,7,1913
Jack,7,1913
Lester,7,1913
Roy,7,1913
Elmer,6,1913
Gerald,6,1913
Harold,6,1913
Henry,6,1913
Joe,6,1913
Ralph,6,1913
David,5,1913
Ernest,5,1913
Howard,5,1913
Lewis,5,1913
Rudolph,5,1913
John,53,1914
George,41,1914
William,40,1914
James,30,1914
Robert,30,1914
Charles,28,1914
Frank,27,1914
Arthur,19,1914
Joseph,16,1914
Harold,15,1914
Carl,14,1914
Edward,14,1914
Ralph,14,1914
Raymond,13,1914
Albert,12,1914
Ernest,12,1914
Roy,12,1914
David,11,1914
Fred,10,1914
Thomas,10,1914
Harry,9,1914
Leslie,9,1914
Louis,9,1914
Donald,8,1914
Earl,7,1914
Glenn,7,1914
Howard,7,1914
Joe,7,1914
Lawrence,7,1914
Richard,7,1914
Walter,7,1914
Jay,6,1914
Leonard,6,1914
Paul,6,1914
Clyde,5,1914
Elmer,5,1914
Eugene,5,1914
Everett,5,1914
Henry,5,1914
Jack,5,1914
Lewis,5,1914
William,84,1915
John,74,1915
James,58,1915
Robert,52,1915
Charles,51,1915
George,36,1915
Joseph,33,1915
Frank,24,1915
Harold,20,1915
Donald,19,1915
Jack,19,1915
Edward,15,1915
Fred,15,1915
Kenneth,15,1915
Ralph,15,1915
Raymond,15,1915
Arthur,14,1915
Clarence,14,1915
Walter,14,1915
Albert,13,1915
Harry,13,1915
Joe,13,1915
David,12,1915
Melvin,12,1915
Thomas,11,1915
Andrew,10,1915
Chester,10,1915
Earl,10,1915
Ernest,10,1915
Howard,10,1915
Louis,10,1915
Paul,10,1915
Roy,10,1915
Elmer,9,1915
Gerald,9,1915
Lawrence,9,1915
Richard,9,1915
Francis,8,1915
Max,8,1915
Alfred,7,1915
Eugene,7,1915
Martin,7,1915
Wilbur,7,1915
Arnold,6,1915
Glen,6,1915
Leo,6,1915
Leslie,6,1915
Lloyd,6,1915
Norman,6,1915
Wayne,6,1915
Alvin,5,1915
Anthony,5,1915
Daniel,5,1915
Everett,5,1915
Floyd,5,1915
Jay,5,1915
Jesse,5,1915
Lewis,5,1915
Marion,5,1915
Mike,5,1915
Ray,5,1915
Ted,5,1915
John,72,1916
William,62,1916
Robert,58,1916
James,53,1916
Charles,48,1916
George,44,1916
Frank,34,1916
Paul,26,1916
Jack,25,1916
Joseph,23,1916
Edward,21,1916
Richard,21,1916
Albert,20,1916
Arthur,19,1916
Henry,19,1916
Clarence,18,1916
Harold,18,1916
Kenneth,18,1916
Ralph,18,1916
Thomas,18,1916
Donald,15,1916
Fred,15,1916
Walter,15,1916
Joe,14,1916
Raymond,14,1916
Roy,14,1916
David,13,1916
Ernest,10,1916
Howard,10,1916
Cecil,9,1916
Earl,9,1916
Harry,9,1916
Louis,9,1916
Alfred,8,1916
Andrew,8,1916
Edwin,8,1916
Elmer,8,1916
Leonard,8,1916
Mike,8,1916
Stanley,8,1916
Vernon,8,1916
Allen,7,1916
Eugene,7,1916
Floyd,7,1916
Martin,7,1916
Victor,7,1916
Byron,6,1916
Chester,6,1916
Clyde,6,1916
Dale,6,1916
Everett,6,1916
Francis,6,1916
Gerald,6,1916
Herbert,6,1916
Michael,6,1916
Ben,5,1916
Carl,5,1916
Dean,5,1916
Douglas,5,1916
Glen,5,1916
Glenn,5,1916
Lawrence,5,1916
Lloyd,5,1916
Lyle,5,1916
Marvin,5,1916
Max,5,1916
Morris,5,1916
Peter,5,1916
Wilbur,5,1916
Willard,5,1916
Woodrow,5,1916
John,83,1917
William,82,1917
George,64,1917
James,60,1917
Robert,56,1917
Charles,52,1917
Joseph,34,1917
Edward,33,1917
Frank,31,1917
Jack,27,1917
Harold,25,1917
Ralph,24,1917
Albert,21,1917
Paul,21,1917
Earl,19,1917
Richard,18,1917
Thomas,18,1917
Harry,17,1917
Kenneth,17,1917
Walter,16,1917
Carl,15,1917
Henry,15,1917
Eugene,14,1917
Louis,14,1917
Lawrence,13,1917
